,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Malic acid_1546_3TMS,Malate,,32694751.2,941641.6084,71289520.8,4557799.324,89470575.8,6078321.381,21874217,661765.7505,43539736.4,19504358.76,93896969.2,11905963.41,51419124,4583985.567,94939251.4,9073332.56,104020529,8447105.095,30139147.2,694897.48,43022612.6,9055346.811,90382160.4,20543872.14,207984123.7,8944284.753,275892990.6,172025778.2
"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L-",Mannose,,175296.8,8290.008917,198629.6,13528.09611,222165.6,31028.01811,102257.6,2937.2508,92229.6,1543.95533,118653.4,9423.4549,148596.4,10600.74433,131617.4,6572.510537,114223.2,5082.097406,42125.6,2119.003978,138964.2,15092.32968,380564.4,19467.85484,814792.5,18514.79522,167218.6,7648.477369
"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L-:2",Mannose,,223940,8384.138381,404293.8,16502.22011,350135.4,42404.64353,73954.4,1104.026431,126178.4,8263.398693,285795.4,27282.89473,197254.2,4802.323598,125902.2,11043.73647,168504.4,7280.389595,179142,11324.2015,602531.4,161313.8741,,,5198262,93362.27199,13248773.2,12617332.49
myo-inositol_2014_5TMS,Myo-inositol,,53982367,699729.6546,89916022,1641149.96,76325446,6005161.883,9113232.6,45238.9027,67035329.4,3205994.558,74046771.2,3844964.009,67950811.8,3327359.987,64036511.6,1810191.506,59546995.4,3673688.482,70658309.2,2811256.353,70345998.8,4491700.094,139727091.8,17765817.14,179921977.8,2426430.923,64871573,13385236.25
"N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid",Pyroglutamic acid,,1371878.4,189547.1224,2474007.8,459208.3052,2736057.4,364645.7243,1336195.4,151490.9356,1502778.2,115452.1948,4140353.2,416720.5626,3010382,416129.3221,2510160.6,602049.121,2689878.4,241284.7377,3489586.8,180799.4464,4753014.4,1614907.505,29217470,14189115.79,24042729,1213818.781,5496546.8,1815605.998
Octadecanoic acid_2292_1TMS,octadecanoic acid,,,,17296069.4,501717.1401,17975839.2,235805.7698,391743.2,7922.438743,244767.4,14327.47631,162942.6,5248.138733,,,,,,,134717.8,8709.159996,3368024.4,136384.4323,10902524.6,548460.7819,21145805.6,1765201.115,3034828.2,42843.79019
Palmitin_2606_2TMS,Palmitin,,,,32629726.2,792899.0637,31547754.6,878704.3196,417169.6,10443.66371,397740.8,12035.92776,,,,,,,,,,,,,,,,,,
Phosphate_1372_4TMS,Phosphate,,568357.6,69840.3645,2770838,172129.9958,2272313,180838.8384,508127,12925.80091,682012,50973.2109,1222272.6,118040.5248,662630.6,16170.05716,1017283.2,105929.9008,957955.2,45549.26515,935653,50131.03509,825483.6,168862.5946,24128044,1742547.649,39725313.17,8111044.844,941242.6,179888.3981
Proline_1327_1TMS,Proline,,,,1920972.4,83584.7677,163562.6,7129.649084,451487.4,14167.81566,7158247.8,126201.0618,,,1265858.2,46928.99907,,,,,8969049,1586447.67,14760711.4,1781720.422,32545714,1172236.546,53223271.17,4218203.392,29857484.2,2915949.811
"Propanedioic acid, bis(trimethylsilyl) ester",Malonic acid,,2876162.8,310293.1724,4239265.4,534696.3455,6989078.8,618294.4263,3028060.8,217580.6805,5160275.4,366524.0354,11185171.4,1597622.372,6098195.4,369656.5643,12226155.2,1463426.203,13474772.4,1065686.419,6367245.4,1258044.87,8924840.8,3972186.092,26741472.2,1093017.825,163053243.5,10904565.2,436361.4,44282.87965
"Propanoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",Propanoic acid,,1665072.8,158951.6626,4945353.2,652226.8905,5312085,503428.1419,1139482.6,42701.11305,2318854.4,70445.99135,1276829.4,70364.83248,1918220.8,108494.6981,1375138.6,197802.9903,1464743.4,140463.8388,3047062.4,396741.9381,4743562,1178389.353,5280113.4,105982.4629,15227126.17,911119.7068,5540141.4,1467439.556
"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",Propanoic acid,,5655333.8,298318.0443,10035820.6,546071.3969,5446712.2,257105.5816,25143238.4,1002349.06,7805680,712778.3489,18186462.4,531061.1194,7254529.6,587229.1861,1963808.8,54644.4524,1972117.2,101317.8603,7652071.6,570704.0583,4570664.2,395522.5285,,,,,4200627.4,328936.7062
"Propanoic acid, 2-oxo-, methyl ester",Propanoic acid,,549097.4,7303.98914,946894.6,30436.79816,1527464.2,68558.3278,423144,11671.24764,1004078.6,21696.08516,2951303,332544.7434,1236739.8,174978.8821,1365175.8,72684.26288,2522034.8,75726.55937,1201609.8,59066.07624,2113440.8,618878.0299,800886.6,5666.250353,4672567,150698.2801,2353897,694043.9321
Pyruvic acid_1175_1TMS,Pyruvate,,2864702.6,202492.2978,3617532.4,417693.0516,3811598.4,576052.1253,1602478.4,100823.4795,1945245,454662.979,2211522,568898.7505,2737747.6,323901.8867,503318.2,40255.41744,3015301.6,243966.8963,2510274,493463.2781,2370014,176272.5228,5701143.4,52156.32168,4975001.667,508334.0421,1922188.8,426911.0134
Ribitol_1660_5TMS,Ribitol,,4257581.6,305399.6927,17695742.8,825962.6057,12216511,924900.065,3028214.2,286038.4002,3943009.8,629391.214,4700690.2,394484.7478,5103399,622634.6475,1570282.8,97140.71359,1614557.8,510387.4083,4321005.8,179916.5085,5857878.8,595046.5601,7665207,795879.0695,21800330.17,1206257.605,6371502.8,1191469.59
Sedoheptulose_2252_6TMS,Sedoheptulose,,,,23918533.2,565955.5496,22492452.4,768457.6666,,,3958195,318398.0668,,,,,,,10072609.4,403255.1349,11290154.6,1309303.048,,,29244180.4,472944.6339,9546377.167,374604.8279,7064752.4,201665.3034
