,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Glycine d5_1343_3TMS,STANDARD,,104323716,9266293.078,86839739.2,1983793.655,101394439.4,4349391.473,50016363,719442.0781,48291125.2,5451061.391,43771330,2711795.062,43236505.6,1530817.708,130897020.2,8295556.506,29652633.8,6760543.257,152692871.6,9360140.817,132481865.8,9067952.267,223198096.2,9269234.033,219737398,10585093.97,141290668.8,35914657.53
Hexadecanoic acid_2101_1TMS,Palmitic acid,,5093393.6,273109.9164,33771981.8,1885126.918,32527132.4,1580213.405,4943007.6,85416.30464,7607404,144907.3578,5935584.6,198127.2288,6089019.4,93571.68606,25877214.8,731894.1924,,,4692670.25,394262.7243,3848471.4,57406.90868,29019808,2716994.276,27267639.4,2139082.232,6508872,582238.6957
Isoascorbic acid_2032_4TMS,Isoascorbic acid,,3884446.4,174822.2532,9346731.6,1560635.241,8914288.2,617370.3904,3760365.4,739047.0964,3005288.4,486350.9326,3442884.4,431623.0642,3071791.8,168733.8558,3838875.6,207458.8287,2082790.8,196553.287,2226980.8,169351.2104,2399831.2,247563.7308,4141763.2,381249.8103,3868787.4,457724.9418,1898496,163002.7089
Isoleucine_1285_1TMS,Isoleucine,,454470,30744.72675,493527.8,74087.14374,246835,29806.16297,123010.8,13968.08232,235196.2,35551.09187,128053.2,9616.317956,126662.4,15058.76628,171793.6,10858.81545,166907.4,9659.76484,357232.2,43265.48163,408863.6,152366.613,193894.2,15727.29773,176782.2,9022.034601,126453.4,4679.51948
Isotridecanol,Isotridecanol,,259960,5622.885514,3096965.4,100802.2904,2930471.8,84495.36103,167604.6,13139.19206,216385.2,13763.77032,119049.4,9562.946855,207333,23746.40238,2433818.6,50762.70246,712720.2,11496.23389,170987.2,5284.982312,212055.6,7165.851307,2498667.4,120867.556,2890288,119216.824,98441.6,2189.410779
Leucine_1252_1TMS,Leucine,,447831.8,181394.0239,421229.4,56015.51033,265183,15076.85129,77812.4,6873.418237,233755.6,36227.74278,107499.2,3623.562755,94298,1037.073671,157219.8,10882.88554,137477.8,80576.77609,321751.8,90716.44497,262439.6,24123.05855,164256.6,6591.974125,128297.2,16967.75659,89709.2,7039.825285
"Lyxose, tetra-(trimethylsilyl)-ether",Xylose,,437053.4,35611.12362,760112.6,113110.5045,3592750,2882578.603,2904375,1574730.814,1031443.2,478229.7102,804448.8,18481.20319,2029182.4,893289.2514,855063.2,41827.662,909023.4,127728.8129,587117,52225.07699,410444.4,41277.4598,1038189.4,103144.8686,2178244.4,267502.7414,1041948,211371.8974
Malic acid_1546_3TMS,Malate,,40392451.6,2599140.311,42100570.4,5040071.26,40516928.6,559735.9605,19222706.2,1778350.162,32336975.6,629931.4928,83171527,645883.2702,35202611.4,2057013.259,51034838.8,4329393.077,52058145.8,2601057.842,23427573,444012.0211,17535149.4,1001854.663,37708204,976150.4134,246340886.6,154511367.8,131508938.2,4242598.125
"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L-",Mannose,,136829.6,11939.5309,260235.6,40756.37582,219535.25,14514.82455,95141,7127.908221,79087.4,3575.459643,83774.8,14153.52405,115050,13668.97941,105182.4,10189.60369,100931.4,5433.43749,56608.2,7354.292396,91894.6,1503.365179,358590.4,72597.77509,261154.6,30784.67161,157598.2,32379.65814
"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L-:2",Mannose,,182668,14174.08215,351245.2,39708.83247,374850,33105.36264,125171.2,4317.572864,18701.4,360.1467201,120513.6,11399.64933,135322.2,3871.718822,436992.8,39341.4638,115217.8,5407.262352,251757.2,11497.5609,279292.4,27733.98906,437328.8,20544.40196,569917.4,16318.10714,#DIV/0!,#DIV/0!
myo-inositol_2014_5TMS,Myo-inositol,,70008572.8,2902396.457,96868539.8,4713441.986,94550915.8,5123506.226,67540126.2,1950549.621,73694321.4,6365695.368,75672120.4,2078771.713,69815137.8,3640347.498,84118659.2,3664420.566,40865881.6,2616014.347,66918386.8,1976687.761,66269717.6,3796873.124,110722275.8,3282853.496,122469395.2,6009157.184,86997204.2,1587035.488
"N,O-Bis-(trimethylsilyl)-2-pyrrolidone carboxylic acid",Pyroglutamic acid,,1893991.2,153183.7729,3220464.8,499738.8099,3156116,504848.056,1804315.8,119070.1147,2866306.2,213230.738,2162609.6,145139.9138,4540436.4,378987.6986,5999874.2,438528.0587,3478536.8,895872.0599,4009655.2,309171.0893,3047382.6,514619.5359,13779527,1578622.194,17729668.2,1319170.009,16873800.2,2634599.035
Octadecanoic acid_2292_1TMS,octadecanoic acid,,2949181.2,68455.28385,19779452,1313361.386,18938592,842099.8693,,,,,,,,,15547989.8,528685.2437,,,,,,,17108045.8,1654513.501,16358433,1646132.679,10073149.8,6429977.829
Palmitin_2606_2TMS,Palmitin,,,,33827496.8,1081899.616,30874942.6,1009089.05,,,,,,,,,37403803.6,1634724.758,,,,,,,27320051,1160675.131,27440619.2,1340862.749,,
Phosphate_1372_4TMS,Phosphate,,662207.6,31567.80119,3168169.4,192518.2386,2797944.4,250137.496,687858.4,46769.3287,860684.2,71887.26484,1050073.2,178939.4716,919922.2,35813.31181,1851203.6,77362.7676,1015940.4,49220.94497,827052,63510.7232,670367,61903.1259,2711749,139652.9416,3323138.6,157218.2593,1413851.6,134571.3137
Proline_1327_1TMS,Proline,,12443396.4,669525.1187,,,,,,,2277478.8,52384.0327,,,1151446.6,74777.81356,2222505,308847.5938,,,12813195.2,547849.9545,12860150.4,657186.1444,36710125.4,971723.408,45194716.4,1602373.174,31213299.6,681671.6166
"Propanedioic acid, bis(trimethylsilyl) ester",Malonic acid,,17208848.8,1468288.638,8553595.4,2967980.478,8176828.4,1446977.017,5521665.4,234248.3021,6153044.2,985590.3832,9427375.4,1487166.136,8976719.2,527342.2795,15876535,1797056.018,19626660.6,2111480.775,11598239,1066805.593,7276865.2,1203495.215,18519716,2188179.292,28934773.8,2129808.326,39000481.6,1989327.118
"Propanoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",Propanoic acid,,1881720.8,163610.9235,5344554.8,716914.5605,6098073,322137.0914,1848614,274893.1093,1250003.6,191382.0059,1325106.4,79883.34807,1799343.6,126183.4823,4213290.2,1195881.395,1865943,368396.3105,4894774.8,423552.6947,5412253.8,1716089.402,28166832,1161421.426,48949823.2,534400.8854,29988027.2,3577867.096
"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester",Propanoic acid,,17099435,363844.9302,11848385.6,515527.6295,,,37160223.2,12142238.64,14656115,1537912.338,16084337.6,1123375.656,6141836.2,492333.0081,3249299.2,80807.62176,2429435,89495.47896,10163572.6,2228962.97,8332172.6,96982.26077,33033698.4,540547.633,8579867.2,875139.5245,7333740.2,153101.6159
"Propanoic acid, 2-oxo-, methyl ester",Propanoic acid,,684292,12229.67033,968875.6,71006.34388,1285668.4,140488.5564,737228.2,54849.44661,1048036.6,64952.08144,2613431.2,534950.782,1421790,52932.1879,2055327,355946.2523,1733539.8,230194.8969,2266466,161952.2409,2046280.8,104140.0604,4464529.2,407641.7684,7770700.2,522553.6379,11495919.2,863071.8437
Pyruvic acid_1175_1TMS,Pyruvate,,2035138.2,158077.1331,2731331.25,98003.92678,2103858.2,14650.19909,2265119.6,383066.9628,1859843.4,229417.7047,2636617.8,282341.6788,2396514.4,223937.4085,4442697.8,146561.7264,1946811,163938.9292,2994305.8,261197.0869,1921128.6,75545.04105,3065245.2,197509.6048,3100115.8,294627.8416,2075441,509532.1232
Ribitol_1660_5TMS,Ribitol,,6774690.2,434922.7506,15448375,1060936.487,12866661.2,256173.5539,4374077.4,214801.5492,3344379,413346.9519,4257961.4,396794.6176,5933459.8,379584.8451,3337145.6,1087661.204,2567511,395786.8806,5604678.8,276247.3855,5695597.8,265023.7464,16462167.6,1363167.984,13149678.8,370122.8317,8076335,388018.0501
Sedoheptulose_2252_6TMS,Sedoheptulose,,,,,,,,,,,,,,,,16163151.8,2009334.415,,,13369901.8,363777.4413,18242635.6,324956.0518,,,18821275.75,489080.5994,,
Serine_1361_2TMS,Serine,,26074226.6,1672797.212,34420731.4,2694053.734,36374370,2645485.84,8766044.8,540084.3273,8727323.8,1599715.657,10119246.6,353636.2129,14130769.2,432705.7928,27221124,1667786.35,13260597.6,577607.6352,20975570.4,603867.6124,29012803.4,4075941.638,38596547.6,2177836.077,37607895.6,3825398.086,36323142.8,5021495.649
Serine_1408_3TMS,Serine,,2718059.4,213999.2278,2095927.4,388418.2391,2213250.8,229195.593,190509.8,38645.573,41625.4,7468.358867,40900,8310.68718,234865.6,35682.09242,1960744.6,256066.6992,70833.8,8148.913697,1106781.8,203823.5172,3032657,672784.9512,5732505,736005.2077,9072727.6,1188857.114,4680883.6,1092973.097
Shikimic acid_1838_4TMS,Shikimate,,1308236.6,115284.7397,2161438.2,234628.7388,2658166,711408.756,846594.4,37841.0556,1252656,135175.9969,3203359.4,870942.9112,2202282.4,112628.9207,7728200.2,1218982.004,2941768.4,276485.9596,6502288.2,198717.5077,5294686,814007.9607,12949018.8,708346.1836,16728630.2,433346.6698,12101774,739085.2841
Sorbose_1849_5TMS,Sorbose,,1776760.4,42043.9307,73518104.8,4822701.413,130012405.8,8343550.89,1114473.2,56626.9355,266320021,170133734.9,157786007.4,9161271.985,154389552.4,5654127.369,193658130.8,7863381.143,152351561.4,3942705.705,198533289,7493050.473,190196257.8,16939415.79,271303873.4,23799583.66,246722243.8,26619921,227402798.6,36168122.44
Succinic acid d4_1419_2TMS,STANDARD,,107129665.2,7399857.825,140811831.4,36895984.51,104870757.4,3190514.886,103658266.8,1598596.881,103864462.8,4492980.665,167621997.2,62767976.23,90956365.8,19688440.6,109290802.6,3622100.575,115929497,1971193.45,109664956.2,3878597.795,97223439.4,4026316.979,117012041.4,3111309.475,124553064.6,2172901.553,126213892.2,2923131.673
Sucrose_2323_8TMS,Sucrose,,237635491,5963801.482,217761273,36414994.59,252560160,10660321.11,221548190.6,5766169.177,247339245.4,10247256.79,382153055.6,67492713.95,358278335.2,18032537.47,589345649.6,8286549.566,305161274,22336082.12,375153564.2,6065520.223,338919703.2,21773759.65,337948890.6,6813206.067,427620359.6,11845730.43,289889794.2,5826491.812
Threonine_1384_2TMS,Threonine,,127906954.2,9854433.037,81440313.4,19809924.74,99482585.4,17640206.84,134198189,4386387,101812750.8,22748185.69,135329000.6,3394045.345,131498879.2,3313061.972,149455735.4,4073085.257,126263753.8,7282633.007,171555176.6,1195994.483,161312376.8,3935080.04,136219396.2,33618979.06,167470800.4,2732740.665,123385360.4,3283411.837
